,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
6402,Oldu Olanlar,9,2019-02-10,"DJ Tarkan, Sagopa Kajmer",https://open.spotify.com/track/4LTHcXXwN8OW4fYm5sVNPP,Turkey,70656.0,0.798,0.523,11.0,-9.695,0.0328,0.207,0.000769,0.119,0.155,110.035,233109.0,Rap
6403,KASSAV (feat. Tiakola),9,2021-02-26,Gazo,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj,France,175316.0,0.759,0.523,6.0,-9.886,0.321,0.649,1.33e-05,0.269,0.766,144.109,210253.0,Rap
6404,No Stress (feat. A Boogie wit da Hoodie),9,2021-01-23,Capo Plaza,https://open.spotify.com/track/1g2CMj45LJZWxGQYoBye0X,Italy,263328.0,0.765,0.82,11.0,-5.326,0.0612,0.0219,0.0,0.117,0.137,137.979,180871.0,Rap
6405,CHE NE SO,9,2021-10-01,Salmo,https://open.spotify.com/track/2P0wERnEOoWN2PC5ubmaV3,Italy,580312.0,0.544,0.726,0.0,-4.81,0.31,0.0577,3.39e-06,0.379,0.349,112.631,137533.0,Rap
6406,Bad Lil Vibe (feat. Jeremih),9,2020-05-22,KSI,https://open.spotify.com/track/04zis09KAgMvMod8Eohrp1,United Kingdom,309682.0,0.571,0.669,1.0,-4.513,0.0619,0.0391,2.39e-06,0.363,0.146,117.576,137544.0,Rap
6407,moondance,9,2021-09-01,"Samey, Ego",https://open.spotify.com/track/4i8X8rz8Pzs6EtjL8OYOWH,Slovakia,16095.0,0.705,0.608,6.0,-10.623,0.0761,0.247,0.0,0.154,0.506,105.975,201330.0,Rap
6408,Matatan,9,2021-10-24,"Kaleb Di Masi, Alan Gomez",https://open.spotify.com/track/7m2iTdEKAtiGULWnTIRhX2,Argentina,255834.0,0.88,0.729,0.0,-7.741,0.42,0.184,0.00247,0.102,0.622,85.996,159077.0,Pop
6409,The Greatest Show,9,2018-03-05,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman Ensemble",https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM,Japan,15461.0,0.417,0.824,11.0,-7.36,0.105,0.000239,0.0545,0.0725,0.4,157.92,302147.0,Pop
6410,Сон,9,2021-04-11,Ramil',https://open.spotify.com/track/1Yl5p4EDkBvLVf8lMcrbW2,Russia,40199.0,0.828,0.563,1.0,-6.727,0.0775,0.648,0.00258,0.131,0.379,109.991,177818.0,Rap
6411,Kol Youm,9,2021-05-18,Ahmed Saad,https://open.spotify.com/track/3iWRuqeYt3ezyPOSdVo9Hz,Egypt,7109.0,0.875,0.801,11.0,-8.041,0.0449,0.332,0.000287,0.0406,0.96,127.996,205636.0,Pop
6412,Star,9,2021-04-23,Samra,https://open.spotify.com/track/7chi59IEpZJyTan2zwdagF,Germany,375668.0,0.744,0.812,9.0,-4.521,0.425,0.14,0.0,0.238,0.507,81.969,168333.0,Rap
6413,DEBITI,9,2021-03-26,"Massimo Pericolo, Crookers",https://open.spotify.com/track/1MEznYdUSMGriy96I3XAp1,Italy,286078.0,0.541,0.789,10.0,-5.821,0.0422,0.0156,1.78e-05,0.124,0.419,108.204,144371.0,Rap
6414,Dior,9,2020-05-29,"Azteca, Amuly",https://open.spotify.com/track/4yQDscE1p9w5vevfukLizV,Romania,12770.0,0.854,0.548,10.0,-10.206,0.0381,0.305,5.2e-05,0.0901,0.806,120.02,160552.0,Rap
6415,Dar Bida,9,2021-02-16,LFERDA,https://open.spotify.com/track/5Cdi911pucjwuxBoE79eJ3,Morocco,16426.0,0.651,0.4,5.0,-13.317,0.377,0.461,0.0,0.368,0.633,89.875,197333.0,Rap
6416,Tikthot,9,2020-05-16,3NIGMA,https://open.spotify.com/track/6Hw14QYjUm6tDyFb42XMpU,Hong Kong,10125.0,0.793,0.668,7.0,-5.963,0.326,0.026,1.87e-06,0.251,0.851,139.942,107278.0,Rap
6417,Jota,9,2021-11-05,"Niska, Hamza",https://open.spotify.com/track/6Fnriu0MGPeYMZ6l8GkWZm,France,288858.0,0.86,0.593,1.0,-6.735,0.295,0.196,2.94e-05,0.0707,0.54,81.988,164133.0,Rap
6418,BLOCK,9,2021-11-24,A36,https://open.spotify.com/track/05yJ4zGSH2HP9cSVE4pfOW,Sweden,82535.0,0.918,0.514,9.0,-7.282,0.185,0.321,3.19e-06,0.106,0.49,112.983,140893.0,Rap
6419,Uyan,9,2018-08-16,"Velet, Canbay, Wolker",https://open.spotify.com/track/5jpgdY7oK3z09QCLZwPM3o,Turkey,49746.0,0.479,0.798,8.0,-5.129,0.0801,0.0267,2.88e-06,0.0944,0.402,140.073,226286.0,Rap
6420,Bancomat,9,2018-01-21,Sfera Ebbasta,https://open.spotify.com/track/0AQgJrBY3l12K49HTvnT99,Italy,269922.0,0.79,0.563,6.0,-6.895,0.172,0.045,0.0,0.0653,0.708,134.068,188707.0,Rap
6421,Dozo,9,2017-10-06,Kaaris,https://open.spotify.com/track/1Zu1IfKUQsuhARjy6DmUGc,France,135745.0,0.605,0.57,10.0,-7.435,0.555,0.273,0.0,0.108,0.275,129.867,182813.0,Rap
6422,Son ex,9,2020-12-18,Jul,https://open.spotify.com/track/3ZbIod6XBQBjGXl46Jg1dK,France,297827.0,0.826,0.824,7.0,-5.876,0.0512,0.739,2.55e-05,0.108,0.851,143.034,188907.0,Rap
6423,Je Ce Credevo,9,2018-06-21,Luche,https://open.spotify.com/track/2PxQGAxfq4ZRAKUjaq7xCj,Italy,203775.0,0.397,0.535,0.0,-8.079,0.0857,0.22,0.0,0.167,0.0788,86.442,202737.0,Rap
6424,Minulost,9,2019-04-25,Hasan,https://open.spotify.com/track/3lYEuAi1KAXd9Jz1JUu43x,Czech Republic,14232.0,0.702,0.477,5.0,-8.313,0.0839,0.387,0.0593,0.142,0.177,88.988,145618.0,Rap
6425,Dala Dumla,9,2020-11-16,"Bvcovia, Nane, Amuly, Marko Glass, AlbertNbn",https://open.spotify.com/track/77wW5KqaMBoNw4n1Y2yKcM,Romania,6422.0,0.826,0.462,5.0,-10.905,0.143,0.332,0.0,0.169,0.594,140.052,171657.0,Rap
6426,Datni,9,2021-10-05,Draganov,https://open.spotify.com/track/4tMCsHp6nZtZR8p7zYhlPK,Morocco,14751.0,0.714,0.343,11.0,-16.76,0.0945,0.772,2.64e-05,0.0852,0.344,157.988,253714.0,Rap
6427,Hada Rai,9,2021-05-09,ISSAM,https://open.spotify.com/track/7zQjlfWIf2v09j8JygU2mU,Morocco,9791.0,0.764,0.74,10.0,-7.35,0.0667,0.0834,0.0,0.107,0.676,125.968,212857.0,Rap
6428,Data Love,9,2018-01-12,RIN,https://open.spotify.com/track/0hTLzq09OE4wAqTfLYyHVl,Germany,239521.0,0.839,0.696,6.0,-7.777,0.0339,0.28,0.0174,0.116,0.84,129.981,196696.0,Rap
6429,Strawberry Peels (feat. Young Thug & Gunna),9,2020-03-13,Lil Uzi Vert,https://open.spotify.com/track/4lAQfuREAHG8IC0PiiigBt,United States,1273221.0,0.862,0.65,10.0,-6.978,0.355,0.0207,0.0,0.568,0.658,131.194,115350.0,Rap
6430,Passa dig,9,2020-05-22,Miriam Bryant,https://open.spotify.com/track/7nHHxCaUfsqeDRfhMDUrA8,Sweden,108847.0,0.598,0.647,3.0,-4.214,0.0332,0.201,0.0,0.102,0.565,144.028,227520.0,Pop
6431,Tyler Herro,9,2020-10-26,Jack Harlow,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB,United States,704911.0,0.794,0.756,5.0,-7.16,0.136,0.11,0.0,0.247,0.775,123.066,156498.0,Rap
6432,Ex (feat. Webb),9,2017-03-31,LouiVos,https://open.spotify.com/track/6EDnqtAZxZu5pGXyPjgvU8,Netherlands,162324.0,0.931,0.805,9.0,-5.73,0.206,0.111,0.0,0.0882,0.791,122.087,164000.0,Rap
6433,2001,9,2021-10-01,"Mata, Maurycy Żółtański",https://open.spotify.com/track/1NF8ykbDKG5jjX2lngFr8I,Poland,280761.0,0.613,0.388,5.0,-7.706,0.0529,0.811,0.0,0.115,0.644,77.957,177933.0,Rap
6434,Duman,9,2020-08-28,"Murda, Ezhel",https://open.spotify.com/track/4Rgg8Go1YSmz2o00ZiZiP7,Turkey,193811.0,0.908,0.604,5.0,-6.459,0.29,0.331,0.00287,0.18,0.641,120.182,185083.0,Rap
