index,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
512,ruky,1,2019-09-02,Samey,https://open.spotify.com/track/6WJU3dQ3K0j49P8QI8p3CM,Slovakia,14147.0,0.672,0.718,5.0,-6.974,0.0,0.628,0.0866,0.0,0.0888,0.444,69.424,152625.0
513,BEBE,1,2018-10-02,"6ix9ine, Anuel AA",https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C,Chile,247743.0,0.635,0.902,0.0,-3.559,1.0,0.109,0.172,0.0,0.125,0.286,102.063,217822.0
514,I Love It (& Lil Pump),1,2018-10-02,Kanye West,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,Canada,213279.0,0.901,0.522,2.0,-8.304,1.0,0.33,0.0114,0.0,0.259,0.329,104.053,127947.0
515,Billy Kid,1,2020-10-17,"Reto, Kubi Producent",https://open.spotify.com/track/2qX1iJIRJDlVsBQbQkz6L0,Poland,99827.0,0.764,0.582,1.0,-6.226,0.0,0.0592,0.25,0.038,0.111,0.496,140.032,180531.0
516,Desce Pro Play (PA PA PA),1,2020-07-02,"Mc Zaac, Anitta, Tyga",https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ,Brazil,682696.0,0.935,0.71,11.0,-5.085,0.0,0.158,0.0769,1.92e-06,0.173,0.635,100.009,168507.0
517,Star Treatment,1,2018-05-11,Arctic Monkeys,https://open.spotify.com/track/0b93tWwuoAC0nXe1CfR30I,Portugal,26613.0,0.581,0.767,7.0,-5.026,0.0,0.0527,0.243,0.00131,0.141,0.673,120.07,354640.0
518,Mocca,1,2018-10-02,"Lalo Ebratt, Trapical",https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1,Colombia,62553.0,0.786,0.695,1.0,-5.343,0.0,0.353,0.185,0.0,0.123,0.591,97.957,200293.0
519,La kiffance,1,2021-05-14,Naps,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe,France,449523.0,0.805,0.637,6.0,-6.515,1.0,0.0869,0.228,0.0,0.071,0.678,140.045,179427.0
520,10 NUMARA,1,2021-10-24,Lvbel C5,https://open.spotify.com/track/6GDpxEOvaXS0nbqSrFtDAQ,Turkey,391501.0,0.684,0.652,11.0,-10.144,1.0,0.164,0.00667,0.000236,0.0816,0.654,142.068,118565.0
521,Donuts,1,2020-01-24,Gzuz,https://open.spotify.com/track/2nNGV59DJJwk7D5ImGf6uc,Switzerland,59915.0,0.782,0.712,11.0,-7.377,0.0,0.233,0.0919,9.33e-05,0.0818,0.572,141.021,162927.0
522,Kokain,1,2018-10-02,"Bonez MC, RAF Camora, Gzuz",https://open.spotify.com/track/1H3oIeKUEHpBhXUiso0IMH,Austria,31653.0,0.615,0.677,5.0,-7.906,0.0,0.363,0.231,0.0,0.543,0.608,170.117,209232.0
523,This Is America,1,2018-05-11,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,Romania,6359.0,0.854,0.463,5.0,-6.159,1.0,0.137,0.117,0.0,0.354,0.549,120.024,225773.0
524,Liberdade Provisória - Ao Vivo,1,2020-02-20,Henrique & Juliano,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI,Brazil,744622.0,0.668,0.684,1.0,-5.937,1.0,0.0527,0.627,0.0,0.923,0.7,108.138,187986.0
525,Ley Seca,1,2021-09-28,"Jhay Cortez, Anuel AA",https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n,Chile,285982.0,0.759,0.842,8.0,-3.758,1.0,0.096,0.101,0.0,0.134,0.584,105.059,263253.0
526,Ciumeira - Ao Vivo,1,2018-10-02,Marília Mendonça,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1,Brazil,482428.0,0.741,0.813,11.0,-4.83,0.0,0.0452,0.204,0.0,0.797,0.765,123.842,190084.0
527,Cœur noir,1,2021-02-22,Eva,https://open.spotify.com/track/2SYYB9pwxbYJducVc2xGWD,France,181799.0,0.492,0.528,8.0,-6.245,0.0,0.0721,0.644,0.0,0.107,0.461,115.679,180573.0
528,Cuando Te Besé,1,2018-10-02,"Becky G, Paulo Londra",https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,Bolivia,12097.0,0.772,0.732,9.0,-3.713,0.0,0.213,0.307,5.14e-06,0.106,0.295,100.048,254383.0
529,Praha/Vídeň,1,2021-11-13,Calin,https://open.spotify.com/track/4OV1SH5qwYImh0tm04x5LD,Czech Republic,27247.0,0.778,0.449,6.0,-7.464,0.0,0.0339,0.41,0.00126,0.105,0.325,130.007,162462.0
530,พัทยา (Pattaya),1,2021-08-20,MEYOU,https://open.spotify.com/track/6VmtHYkk81yli04paFVxqJ,Thailand,57996.0,0.766,0.494,9.0,-11.419,1.0,0.0593,0.0792,9.76e-06,0.112,0.513,151.991,224408.0
531,Havana (feat. Young Thug),1,2018-01-27,Camila Cabello,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,Taiwan,18786.0,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307.0
532,Bilmem Mi?,1,2021-08-20,Sefo,https://open.spotify.com/track/6wbDn8NI3ygkOeDJiS0ASi,Turkey,1027360.0,0.749,0.718,3.0,-6.096,0.0,0.0603,0.691,0.0,0.117,0.425,89.986,186707.0
533,Amarrau,1,2021-11-13,KAVVO,https://open.spotify.com/track/110wE8SC4g65RkoyhpNy1T,Costa Rica,36295.0,0.815,0.424,0.0,-9.373,0.0,0.48,0.109,0.0,0.344,0.688,180.103,189573.0
534,Tout oublier,1,2018-12-22,"Angèle, Roméo Elvis",https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71,France,209881.0,0.692,0.542,11.0,-7.9,0.0,0.197,0.493,2.75e-06,0.247,0.285,105.005,202120.0
535,Dark Side,1,2021-02-22,Blind Channel,https://open.spotify.com/track/6A8B1kJ9ZNHbl2uFPN6Wtm,Finland,110753.0,0.571,0.955,7.0,-3.795,1.0,0.105,0.00254,1.55e-06,0.274,0.437,98.01,177790.0
536,Tamagotchi,1,2018-05-11,"TACONAFIDE, Quebonafide, Taco Hemingway",https://open.spotify.com/track/3yI9jZu5AE7y7kUCqfBhCA,Poland,115044.0,0.757,0.731,2.0,-6.269,1.0,0.194,0.326,0.0,0.186,0.386,111.989,201829.0
537,Da Ili Ne,1,2019-06-14,Krisko,https://open.spotify.com/track/2rT6xyUhl3d1rGnvSjnWXz,Bulgaria,8610.0,0.753,0.849,8.0,-3.886,0.0,0.0692,0.575,0.0,0.0652,0.691,93.597,201609.0
538,A Gente Fez Amor - Ao Vivo,1,2020-04-16,Gusttavo Lima,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,Brazil,609376.0,0.794,0.937,8.0,-2.44,0.0,0.0336,0.366,4.15e-06,0.962,0.826,134.012,237517.0
539,Cizí zeď,1,2018-10-02,ONEMANSHOW Foundation,https://open.spotify.com/track/7nLZ336nDC44S0CCXcCBJm,Czech Republic,16885.0,0.539,0.852,5.0,-5.79,1.0,0.119,0.0304,0.0,0.168,0.66,81.87,178125.0
540,El Farsante,1,2017-08-14,DJ Jonathan,https://open.spotify.com/track/66gNNRsKkmECPQUrvpMQtS,Dominican Republic,13490.0,0.726,0.705,6.0,-4.458,1.0,0.0636,0.247,0.0,0.409,0.39,120.053,231106.0
541,Freaky Friday (feat. Chris Brown),1,2018-05-11,Lil Dicky,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,Philippines,180876.0,0.755,0.599,8.0,-5.042,1.0,0.224,0.147,0.0,0.109,0.755,133.123,216632.0
542,Kokaina,1,2021-05-14,TOQUEL,https://open.spotify.com/track/3hS4HC5mTbBqIZkTGP6ETx,Greece,87456.0,0.531,0.733,3.0,-5.791,0.0,0.398,0.33,1.31e-05,0.111,0.901,89.9,152258.0
543,Psycho,1,2020-01-24,Red Velvet,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,Thailand,57554.0,0.664,0.666,8.0,-2.203,1.0,0.0446,0.193,0.0,0.0854,0.405,139.987,210560.0
544,Without You,1,2020-01-24,高爾宣 OSN,https://open.spotify.com/track/0KWnRv3wxjltYVB3MqjNd2,Taiwan,37705.0,0.669,0.698,11.0,-4.613,1.0,0.091,0.573,0.0,0.102,0.286,80.003,175500.0
545,Love Someone,1,2018-10-02,Lukas Graham,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ,Denmark,94915.0,0.55,0.415,9.0,-6.557,0.0,0.052,0.161,0.0,0.108,0.274,172.065,205463.0
546,Eastside (with Halsey & Khalid),1,2018-10-02,benny blanco,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,Australia,231218.0,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,173800.0
547,Er Her (Artigeardit X KESI),1,2021-05-14,Artigeardit,https://open.spotify.com/track/63ODxpk6cCmFw8VvoeRD0O,Denmark,97359.0,0.589,0.706,5.0,-5.033,0.0,0.312,0.151,0.0,0.0692,0.711,125.546,157102.0
548,Officieel,1,2017-11-29,Broederliefde,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb,Netherlands,264291.0,0.686,0.657,7.0,-8.38,0.0,0.471,0.208,0.0,0.227,0.425,104.761,204788.0
549,LA NOCHE DE ANOCHE,1,2021-02-22,"Bad Bunny, ROSALÍA",https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,Dominican Republic,19607.0,0.856,0.618,7.0,-4.892,1.0,0.286,0.0303,0.0,0.0866,0.391,81.993,203201.0
550,MCQUEEN,1,2021-02-22,"RH, Branco",https://open.spotify.com/track/29s2dhQ00vpr6eTI00Kc77,Denmark,60619.0,0.954,0.643,8.0,-6.77,0.0,0.109,0.00317,0.00247,0.0963,0.915,122.006,137733.0
551,Unforgettable,1,2017-08-14,"French Montana, Swae Lee",https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,Canada,157358.0,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,233902.0
552,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,1,2021-05-14,"Riton, Nightcrawlers",https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl,Czech Republic,27751.0,0.824,0.862,2.0,-3.424,1.0,0.126,0.0076,0.000132,0.303,0.801,122.98,169153.0
553,All Falls Down (feat. Juliander),1,2017-11-29,"Alan Walker, Noah Cyrus, Digital Farm Animals",https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb,Norway,122425.0,0.658,0.678,1.0,-4.407,1.0,0.058,0.303,0.0,0.361,0.662,97.976,199111.0
554,em bỏ hút thuốc chưa?,1,2020-05-18,"Bich Phuong, traitimtrongvang",https://open.spotify.com/track/2IDZxVWQypWxYIP6wqDzGN,Vietnam,43403.0,0.673,0.376,11.0,-7.886,0.0,0.0357,0.915,8.32e-05,0.0973,0.414,104.997,216000.0
555,Pumpa,1,2020-10-17,"Ego, Sima, Ben Cristovao",https://open.spotify.com/track/5mZB7xVhF6kfprZntquCVy,Slovakia,13813.0,0.669,0.934,1.0,-4.028,1.0,0.0844,0.0332,0.000172,0.253,0.577,174.937,155320.0
556,Habiba,1,2017-04-07,Boef,https://open.spotify.com/track/6G41AeVgQkpvEbTxN5fNkW,Netherlands,333945.0,0.898,0.813,8.0,-5.725,0.0,0.306,0.113,0.0,0.0854,0.771,126.986,215978.0
557,∞ LOVE (feat. Guè),1,2021-11-26,Marracash,https://open.spotify.com/track/2VyZWWKamfq7kVnh5gMgPd,Italy,705073.0,0.726,0.828,7.0,-5.191,0.0,0.071,0.105,0.0,0.0873,0.307,125.002,218368.0
558,أجمل غرامي,1,2020-10-17,Abdullah Al Farwan,https://open.spotify.com/track/6NEJSZxzjuL72aheHI6lyY,Saudi Arabia,13326.0,0.549,0.656,7.0,-8.274,0.0,0.0627,0.772,0.0,0.085,0.774,151.26,279427.0
559,Bel Bont El3areedh,1,2020-10-03,Hussain Aljassmi,https://open.spotify.com/track/4ZU4yHDLZcMcy8BF6Y89fu,Egypt,10353.0,0.798,0.742,5.0,-5.588,0.0,0.0467,0.0256,3.68e-05,0.0749,0.934,139.996,198857.0
560,gloria,1,2021-05-14,5MIINUST,https://open.spotify.com/track/6mBcS1PFMYrjK9e28I8Xvc,Estonia,8829.0,0.762,0.711,9.0,-7.027,0.0,0.0719,0.0692,0.0,0.314,0.591,109.941,168565.0
561,Magus melanhoolia,1,2021-02-22,Jüri Pootsmann,https://open.spotify.com/track/1Ae5AcTlKsTEpksomr4oDK,Estonia,5111.0,0.63,0.417,0.0,-7.41,1.0,0.256,0.115,0.0,0.105,0.29,77.682,134710.0
562,أسياد الصوت,1,2021-05-14,"Wegz, LZHYMR",https://open.spotify.com/track/42nkGZLFa7PF2Hut7f7sxk,Egypt,13303.0,0.823,0.584,0.0,-8.176,0.0,0.0677,0.436,4.51e-06,0.16,0.284,134.997,188630.0
563,Snjókorn falla,1,2018-12-22,Laddi,https://open.spotify.com/track/4h4pNMbBKfaIXyR9SY62Lm,Iceland,9757.0,0.824,0.621,9.0,-6.975,1.0,0.031,0.483,1.17e-06,0.112,0.909,102.177,201689.0
564,Sweet Night,1,2020-03-17,V,https://open.spotify.com/track/39EXZNMxb4RBHlRjnRaOKp,Vietnam,19149.0,0.462,0.339,3.0,-7.943,1.0,0.025,0.495,8.15e-06,0.0893,0.149,92.106,214259.0
565,ЗДРАВСТВУЙТЕ (feat. OG Buda),1,2021-07-01,Egor Kreed,https://open.spotify.com/track/5BfJXirR4xGajr0vqLpRbn,Russia,116562.0,0.729,0.561,10.0,-6.947,0.0,0.215,0.281,0.0,0.102,0.501,129.968,136880.0
566,malibu,1,2021-06-10,sangiovanni,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi,Italy,851020.0,0.733,0.736,7.0,-5.123,0.0,0.111,0.028,0.0,0.131,0.669,147.897,166216.0
567,魚仔 - 電視劇<花甲男孩轉大人>主題曲,1,2017-06-21,Crowd Lu,https://open.spotify.com/track/2sb6AZQLeoD3VgA4zglQB6,Taiwan,38766.0,0.666,0.217,1.0,-11.042,0.0,0.0335,0.786,0.0,0.0766,0.395,82.011,280955.0
568,Só Quer Vrau,1,2018-04-28,"MC MM, DJ RD",https://open.spotify.com/track/68uKHxQzoY6gd7YSKJf21J,Brazil,718403.0,0.673,0.76,2.0,-6.847,1.0,0.186,0.111,0.00169,0.15,0.934,150.225,160667.0
569,Crazy,1,2018-01-23,"Lost Frequencies, Zonderling",https://open.spotify.com/track/1ZtEZjYb4e0V0gqwRYeeAY,Belgium,30644.0,0.765,0.762,11.0,-5.094,0.0,0.125,0.437,8.1e-05,0.105,0.447,114.987,153391.0
570,浪流連,1,2018-10-01,EggPlantEgg,https://open.spotify.com/track/2GJ9TC1R5yzZ2gYPKGPGyp,Taiwan,38391.0,0.523,0.522,0.0,-6.366,1.0,0.0367,0.373,0.0,0.0831,0.243,123.482,253383.0
571,Umsebenzi Wethu,1,2021-03-20,"Busta 929, Mpura, Zuma, Mr JazziQ, Lady Du, Reece Madlisa",https://open.spotify.com/track/2H1hYPeKgIQAp439cx7GsX,South Africa,16526.0,0.868,0.571,10.0,-9.767,0.0,0.0783,0.00123,0.0281,0.0829,0.537,113.99,381087.0
572,Msh Bel 7ozoz - مش بالحظوظ,1,2021-06-10,Afroto,https://open.spotify.com/track/4K2VD5qMwcjIsLFYtrrQDz,Egypt,20467.0,0.765,0.52,0.0,-7.035,0.0,0.113,0.164,0.0,0.157,0.444,109.874,200736.0
573,Gang În Sus,1,2020-07-01,"Nane, Oscar, Super Ed",https://open.spotify.com/track/131QzZD2qg9fE0nxJSWZAT,Romania,13249.0,0.703,0.779,7.0,-4.975,0.0,0.192,0.181,0.0,0.339,0.595,80.045,267750.0
574,Kill This Love,1,2019-05-26,BLACKPINK,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,Thailand,31762.0,0.738,0.861,2.0,-4.141,1.0,0.237,0.32,0.00175,0.325,0.58,131.974,189052.0
575,Ay Tenli Kadın,1,2019-05-26,Ufuk Beydemir,https://open.spotify.com/track/5CaKpl8JB1FMCbsgh0sgO8,Turkey,259985.0,0.533,0.541,6.0,-7.854,1.0,0.0252,0.217,4.39e-06,0.11,0.335,144.135,197967.0
576,เป็นไรไหม?,1,2018-10-01,"OG-ANIC, Lazyloxy",https://open.spotify.com/track/09Mn2O6dtMLCKdeD0BtLdO,Thailand,23461.0,0.858,0.56,2.0,-6.24,1.0,0.106,0.41,0.0,0.111,0.966,139.989,212571.0
577,Mundo,1,2018-04-12,IV Of Spades,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,Philippines,195638.0,0.705,0.401,6.0,-8.9,1.0,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,349713.0
578,Inshallah (feat. Capital Bra),1,2018-10-01,Bushido,https://open.spotify.com/track/3nwG4L1J4a8MXq4R01Hilb,Switzerland,35997.0,0.54,0.759,9.0,-4.874,0.0,0.309,0.101,0.0,0.125,0.272,159.228,173299.0
579,Imahe,1,2020-02-19,Magnus Haven,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,Philippines,275690.0,0.604,0.446,9.0,-8.01,1.0,0.0341,0.63,0.0,0.0859,0.199,143.946,321817.0
580,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,1,2020-10-17,Crowd Lu,https://open.spotify.com/track/3OC84eKMxRJ4x0Hcwl9i4i,Taiwan,73711.0,0.425,0.201,10.0,-11.961,1.0,0.0373,0.873,0.0,0.111,0.267,136.328,320166.0
581,Mona Lisa (feat. Kendrick Lamar),1,2018-10-01,Lil Wayne,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8,South Africa,5887.0,0.856,0.694,2.0,-4.393,1.0,0.169,0.371,0.0,0.109,0.489,122.08,324189.0
582,Extraordinary,1,2021-02-21,Anatomy Rabbit,https://open.spotify.com/track/19CoWVqDyUbiqxoyMf4HkJ,Thailand,71487.0,0.579,0.538,4.0,-7.208,0.0,0.0356,0.217,0.00289,0.289,0.567,159.996,241983.0
583,Bad and Boujee (feat. Lil Uzi Vert),1,2017-01-05,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,1295592.0,0.926,0.666,11.0,-5.314,1.0,0.244,0.0611,0.0,0.123,0.168,127.079,343150.0
584,عفاريت الأسفلت,1,2021-07-19,Wegz,https://open.spotify.com/track/4uNc5GMR6a5az5U3Ghdyf8,Egypt,17291.0,0.857,0.548,10.0,-8.639,0.0,0.291,0.503,0.0,0.214,0.821,143.059,204818.0
585,Circles,1,2019-09-03,Post Malone,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG,Canada,245872.0,0.704,0.758,0.0,-3.537,1.0,0.0402,0.233,0.00144,0.0924,0.534,120.003,214907.0
586,Sweet but Psycho,1,2018-10-01,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,Sweden,192473.0,0.719,0.704,1.0,-4.724,1.0,0.0476,0.0691,0.0,0.166,0.628,133.002,187436.0
587,Right Now,1,2021-05-13,Elaine,https://open.spotify.com/track/75iErUVF1heXnj5CB1gaju,South Africa,18618.0,0.387,0.284,5.0,-9.428,1.0,0.211,0.504,0.000212,0.112,0.193,86.412,192596.0
588,JESIEŃ,1,2020-02-19,"Quebonafide, Natalia Szroeder",https://open.spotify.com/track/3tcnMNYokVaRHP1b3xJrOK,Poland,132906.0,0.807,0.618,9.0,-6.798,1.0,0.174,0.0992,0.00634,0.0847,0.378,97.006,213782.0
589,Bank Account,1,2017-08-13,21 Savage,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,United States,1094797.0,0.884,0.347,8.0,-8.227,0.0,0.35,0.015,7e-06,0.0871,0.376,75.016,220307.0
590,quando a bad bater - ao vivo,1,2019-09-03,Luan Santana,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ,Brazil,453012.0,0.648,0.789,1.0,-4.767,1.0,0.0414,0.304,0.0,0.532,0.53,128.124,179722.0
591,Parado no Bailão,1,2018-11-30,"MC L da Vinte, MC Gury",https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT,Brazil,682852.0,0.828,0.599,11.0,-1.624,1.0,0.149,0.381,0.0,0.0775,0.478,86.533,171692.0
592,Rockabye (feat. Sean Paul & Anne-Marie),1,2017-01-05,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,United Kingdom,305680.0,0.72,0.763,9.0,-4.068,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,251088.0
593,Eteği Belinde,1,2017-10-23,Manuş Baba,https://open.spotify.com/track/3lPrs1fylHXjPPfSioDXDg,Turkey,56427.0,0.678,0.767,5.0,-5.434,0.0,0.0288,0.538,4.2e-05,0.544,0.741,143.982,205798.0
594,Smoorverliefd,1,2020-01-24,Snelle,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb,Netherlands,393401.0,0.534,0.314,11.0,-8.717,1.0,0.0381,0.598,0.0,0.103,0.442,91.12,177501.0
595,Dargın,1,2020-09-07,"Zeynep Bastık, Emir Can İğrek",https://open.spotify.com/track/0y4qZpjvskqgvPY5Wc1mJU,Turkey,272970.0,0.351,0.618,2.0,-10.059,0.0,0.0408,0.0546,2.55e-06,0.103,0.378,171.95,241935.0
596,After Hours,1,2020-02-19,The Weeknd,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v,Romania,17107.0,0.663,0.567,5.0,-5.941,0.0,0.0309,0.0938,0.00978,0.124,0.139,108.959,361947.0
597,Fullir Vasar,1,2017-04-07,Aron Can,https://open.spotify.com/track/3UYdR145K9dnygSKJqUk2d,Iceland,9586.0,0.854,0.541,11.0,-8.585,0.0,0.122,0.263,3.85e-06,0.079,0.346,146.063,200312.0
598,Mary Jane (Radio Edit),1,2018-10-01,Burry Soprano,https://open.spotify.com/track/51agJccRxKI5dqGJFkTojo,Turkey,148668.0,0.871,0.561,1.0,-7.155,1.0,0.0525,0.627,1.08e-06,0.0878,0.0951,122.041,180984.0
599,911,1,2021-03-20,Sech,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73,Spain,525935.0,0.795,0.655,7.0,-3.815,1.0,0.0422,0.076,1.76e-06,0.296,0.744,93.029,215891.0
600,Voices,1,2021-03-20,Tusse,https://open.spotify.com/track/5zxZ7M4RgWZUHlMEwac8vt,Sweden,308117.0,0.503,0.759,10.0,-5.222,0.0,0.0423,0.00237,1.06e-06,0.13,0.396,90.015,184000.0
601,Lollipop,1,2020-09-07,"Eldzhey, MORGENSHTERN",https://open.spotify.com/track/40XC3Fre6dJ2JzmYKsKhUU,Ukraine,11190.0,0.825,0.748,9.0,-4.449,0.0,0.0436,0.0292,9.14e-05,0.125,0.664,135.059,173570.0
602,Envolvimento,1,2018-02-18,MC Loma e As Gêmeas Lacração,https://open.spotify.com/track/1Wolb8MRcXR2IMMaELTRpE,Brazil,461701.0,0.852,0.902,10.0,-4.669,0.0,0.159,0.447,0.0,0.0349,0.965,164.971,146526.0
603,Szmata,1,2021-10-12,Mata,https://open.spotify.com/track/1BwnO14BpmoRjGt2lla75r,Poland,369456.0,0.801,0.531,9.0,-8.023,1.0,0.177,0.205,3.6e-05,0.0902,0.376,83.939,165653.0
604,M4,1,2021-03-20,"Teto, Matuê",https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy,Portugal,26737.0,0.88,0.59,8.0,-4.709,0.0,0.204,0.08,0.0,0.184,0.723,119.97,170000.0
605,Ale jazz!,1,2021-03-20,"sanah, Vito Bambino",https://open.spotify.com/track/7fuvhZxxLou4qRRo4Z63wE,Poland,151054.0,0.662,0.649,0.0,-5.647,0.0,0.0739,0.429,0.0273,0.117,0.931,206.042,187545.0
606,Hey Meisje,1,2018-04-27,"Esko, Josylvio, Hansie",https://open.spotify.com/track/1c7Kh2uMMxG7k4QqNjjg95,Netherlands,243965.0,0.756,0.808,1.0,-2.557,0.0,0.073,0.329,0.0183,0.0652,0.889,95.087,197290.0
607,Diamond Heart,1,2018-10-01,"Alan Walker, Sophia Somajo",https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT,Norway,111016.0,0.499,0.638,0.0,-6.145,1.0,0.0438,0.129,0.0,0.631,0.253,89.98,239835.0
608,Tattoo - Remix with Camilo,1,2020-07-26,Rauw Alejandro,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S,Dominican Republic,16166.0,0.848,0.637,9.0,-5.132,1.0,0.156,0.0413,0.0,0.0521,0.698,96.988,222680.0
609,Ella No Es Tuya - Remix,1,2021-02-21,"Rochy RD, Myke Towers, Nicki Nicole",https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y,Spain,516156.0,0.585,0.611,6.0,-4.132,1.0,0.288,0.39,0.0,0.649,0.962,97.041,218107.0
610,Gladen,1,2019-05-27,Itzo Hazarta,https://open.spotify.com/track/3SEPI4YkmPsiDutWBjZjmZ,Bulgaria,5669.0,0.796,0.448,4.0,-9.123,0.0,0.241,0.0784,0.0,0.167,0.234,103.987,188000.0
611,"Dear My Friend,",1,2021-08-11,姜濤,https://open.spotify.com/track/11IqNbLOD4s4nVYSuEttFR,Hong Kong,39149.0,0.646,0.452,0.0,-8.152,1.0,0.0307,0.723,0.0,0.117,0.266,94.566,232008.0
612,Fiołkowe Pole,1,2021-05-13,"Sobel, Piotrek Lewandowski",https://open.spotify.com/track/5bQFAKQF1mhcPPThw97kjw,Poland,222399.0,0.685,0.289,5.0,-11.739,0.0,0.0418,0.552,0.0,0.147,0.626,144.927,159253.0
613,tmt,1,2018-11-30,nublu,https://open.spotify.com/track/3BBC0z90LcToCjPIN0vuHp,Estonia,8148.0,0.927,0.449,7.0,-10.742,1.0,0.189,0.304,0.626,0.104,0.553,104.991,233143.0
614,Madrina,1,2018-11-30,"Maes, Booba",https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH,France,290889.0,0.736,0.797,11.0,-5.168,0.0,0.0579,0.178,0.0192,0.36,0.713,122.984,220213.0
615,Kool G Rap,1,2021-05-13,"Loko Loko, Rytmus",https://open.spotify.com/track/7xGPz2CK5NYPQWk2pmgbXB,Slovakia,12080.0,0.772,0.759,2.0,-6.17,1.0,0.116,0.157,0.00153,0.108,0.251,139.895,236422.0
616,Bài Này Chill Phết,1,2019-05-26,"Đen, MIN",https://open.spotify.com/track/2AiZm17zqkV7llT3SHz4Nu,Vietnam,20849.0,0.789,0.488,9.0,-5.662,0.0,0.297,0.32,0.0,0.0847,0.29,159.986,276001.0
617,"Raataan Lambiyan (From ""Shershaah"")",1,2021-11-26,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY,India,485902.0,0.72,0.63,10.0,-5.549,1.0,0.0413,0.615,0.0,0.108,0.512,81.009,230292.0
618,是但求其愛,1,2020-12-12,Eason Chan,https://open.spotify.com/track/4IkQXb1IdIziAJmO3FODo7,Hong Kong,20955.0,0.326,0.272,6.0,-9.536,1.0,0.0434,0.94,0.00337,0.301,0.253,181.863,269000.0
619,UFO,1,2018-10-01,Szpaku,https://open.spotify.com/track/0eKynckvs4ZzPQv77jtmAp,Poland,53011.0,0.748,0.717,10.0,-7.93,0.0,0.402,0.33,0.0,0.0868,0.385,82.496,215273.0
620,Sigues Con El,1,2020-02-19,"Dímelo Flow, Arcangel, Sech",https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,Paraguay,37678.0,0.883,0.668,9.0,-2.957,1.0,0.113,0.11,0.000529,0.0734,0.676,87.972,226533.0
