index,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
31,"Pachtaoge (From ""Jaani Ve"")",1,2019-09-03,"Arijit Singh, B Praak",https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS,India,208586.0,0.515,0.691,5.0,-4.028,0.0,0.0344,0.624,0.0,0.121,0.484,169.521,226789.0
32,17 Miljoen Mensen - Live @538 in Ahoy,1,2020-04-15,"Davina Michelle, Snelle",https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz,Netherlands,264432.0,0.493,0.321,7.0,-10.041,1.0,0.0402,0.715,0.0,0.0863,0.508,86.77,107200.0
33,Nice For What,1,2018-04-12,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,United States,3038676.0,0.567,0.913,8.0,-6.471,1.0,0.0736,0.0934,0.000124,0.114,0.792,93.35,210926.0
34,Mafiosa (feat. Caroliina),1,2018-04-27,Lartiste,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6,France,234947.0,0.867,0.724,6.0,-4.266,1.0,0.0978,0.258,0.0,0.0527,0.757,128.97,193700.0
35,Médicament,1,2019-05-27,"Niska, Booba",https://open.spotify.com/track/55mCsKCo4bPuYtZvHppp8z,France,250492.0,0.665,0.653,6.0,-6.686,0.0,0.0893,0.693,0.0,0.0769,0.381,157.38,198857.0
36,Toosie Slide,1,2020-04-15,Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,Morocco,7099.0,0.834,0.454,1.0,-9.75,0.0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059.0
37,Criminal,1,2017-10-23,"Natti Natasha, Ozuna",https://open.spotify.com/track/2SmgFAhQkQCQPyBiBxR6Te,Uruguay,15808.0,0.816,0.806,2.0,-3.023,0.0,0.0563,0.0347,9.01e-05,0.255,0.822,79.987,232550.0
38,"Lemonade (feat. Gunna, Don Toliver & NAV)",1,2020-10-17,Internet Money,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,United Arab Emirates,7312.0,0.8,0.658,1.0,-6.142,0.0,0.079,0.25,0.0,0.111,0.462,140.042,195429.0
39,Savage Love (Laxed - Siren Beat),1,2020-07-01,"Jawsh 685, Jason Derulo",https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,Norway,162627.0,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0
40,I Don't Care (with Justin Bieber),1,2019-06-14,Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,Singapore,49701.0,0.798,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947.0
41,Svag,1,2020-04-15,Victor Leksell,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9,Norway,105131.0,0.628,0.525,8.0,-8.941,1.0,0.0672,0.749,0.0,0.113,0.446,76.972,191104.0
42,Heyecanı Yok,1,2018-04-12,Gazapizm,https://open.spotify.com/track/4sa0pXDdQkBZ1r5NZWQJyV,Turkey,72203.0,0.632,0.843,8.0,-5.716,1.0,0.1,0.397,0.0,0.132,0.339,129.971,249266.0
43,Den fineste Chevy'n (feat. Maria Mena),1,2021-05-13,Halva Priset,https://open.spotify.com/track/2Y7npn076wSZJgH8HVr2B2,Norway,102713.0,0.619,0.538,6.0,-9.63,1.0,0.0546,0.141,0.0,0.265,0.363,90.911,185373.0
44,Señorita,1,2019-09-03,"Shawn Mendes, Camila Cabello",https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,Hungary,18292.0,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800.0
45,Safaera,1,2020-04-15,"Bad Bunny, Jowell & Randy, Ñengo Flow",https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,Nicaragua,6890.0,0.607,0.829,2.0,-4.074,1.0,0.379,0.0103,0.0,0.107,0.685,96.172,295177.0
46,Baby (with J Balvin),1,2020-12-12,Sfera Ebbasta,https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X,Italy,322404.0,0.755,0.882,10.0,-1.957,0.0,0.0532,0.125,0.00142,0.103,0.606,99.984,193555.0
47,Psycho (feat. Ty Dolla $ign),1,2018-04-27,Post Malone,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,Global,6418506.0,0.75,0.56,8.0,-8.094,1.0,0.105,0.546,0.0,0.111,0.459,140.06,221440.0
48,Mon Amour - Remix,1,2021-09-14,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,Spain,556267.0,0.748,0.761,2.0,-6.621,1.0,0.102,0.122,6.56e-06,0.0984,0.362,116.041,179940.0
49,Kiss cam (podryw roku),1,2021-08-20,Mata,https://open.spotify.com/track/5hfJcAXpOVb65HtYqgtoE4,Poland,245969.0,0.782,0.657,4.0,-7.561,1.0,0.164,0.26,0.0,0.131,0.568,88.542,170508.0
50,Ransom,1,2019-09-03,Lil Tecca,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0,Iceland,6175.0,0.745,0.642,7.0,-6.257,0.0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240.0
51,Popkorni,1,2017-12-30,JVG,https://open.spotify.com/track/7mGdJWJETc696zijUeZ2FD,Finland,90668.0,0.75,0.737,0.0,-4.89,1.0,0.0723,0.00595,0.000114,0.113,0.354,97.921,211789.0
